LOC,CC,PC,label
3.0,1.0,0.0,2
5.0,1.0,1.0,2
3.0,1.0,0.0,2
33.0,5.0,0.0,2
10.0,4.0,0.0,1
64.0,25.0,4.0,1
41.0,8.0,0.0,1
11.0,1.0,0.0,2
9.0,2.0,2.0,1
13.0,1.0,0.0,2
6.0,1.0,2.0,2
23.0,1.0,0.0,2
23.0,3.0,1.0,1
7.0,2.0,0.0,2
3.0,1.0,0.0,1
9.0,1.0,2.0,1
7.0,2.0,0.0,1
19.0,4.0,0.0,1
8.0,3.0,1.0,2
3.0,1.0,1.0,1
8.0,1.0,6.0,1
21.0,4.0,1.0,1
3.0,1.0,2.0,1
14.0,2.0,5.0,2
10.0,3.0,2.0,2
29.0,4.0,0.0,2
9.0,1.0,1.0,1
18.0,4.0,1.0,1
3.0,1.0,0.0,1
8.0,3.0,2.0,1
0.0,1.0,3.0,2
40.0,8.0,1.0,1
3.0,1.0,1.0,2
10.0,2.0,1.0,2
64.0,17.0,2.0,1
36.0,8.0,1.0,1
12.0,1.0,0.0,1
15.0,5.0,1.0,2
10.0,2.0,0.0,1
38.0,9.0,0.0,1
7.0,1.0,0.0,1
6.0,2.0,0.0,2
31.0,6.0,3.0,2
26.0,3.0,3.0,1
33.0,5.0,0.0,2
38.0,7.0,1.0,1
31.0,8.0,2.0,2
16.0,3.0,0.0,1
16.0,2.0,1.0,1
25.0,4.0,2.0,1
10.0,3.0,2.0,2
7.0,2.0,0.0,1
26.0,6.0,2.0,2
18.0,4.0,0.0,2
19.0,4.0,4.0,2
7.0,2.0,0.0,2
35.0,4.0,1.0,1
12.0,2.0,0.0,1
44.0,13.0,2.0,2
9.0,3.0,0.0,2
20.0,6.0,1.0,2
8.0,1.0,1.0,2
25.0,1.0,0.0,1
11.0,1.0,2.0,2
3.0,2.0,1.0,1
20.0,1.0,0.0,1
16.0,4.0,1.0,2
80.0,16.0,1.0,1
51.0,8.0,2.0,1
18.0,4.0,3.0,1
3.0,1.0,1.0,2
0.0,1.0,1.0,2
3.0,1.0,0.0,2
10.0,2.0,1.0,2
8.0,1.0,6.0,1
14.0,5.0,0.0,2
46.0,11.0,1.0,1
11.0,2.0,1.0,2
