LOC,CC,PC,label
8.0,1.0,0.0,1
12.0,2.0,0.0,1
7.0,2.0,0.0,2
36.0,5.0,3.0,2
5.0,2.0,1.0,1
31.0,7.0,1.0,1
4.0,1.0,0.0,2
3.0,1.0,1.0,1
11.0,1.0,0.0,2
15.0,3.0,1.0,1
3.0,1.0,1.0,2
3.0,1.0,0.0,2
30.0,5.0,2.0,1
24.0,3.0,2.0,1
3.0,1.0,0.0,2
54.0,6.0,3.0,2
3.0,1.0,1.0,2
5.0,1.0,4.0,2
36.0,5.0,3.0,1
34.0,8.0,3.0,1
59.0,10.0,0.0,1
11.0,1.0,0.0,1
3.0,1.0,1.0,2
6.0,2.0,1.0,2
14.0,2.0,1.0,1
3.0,1.0,1.0,2
16.0,3.0,0.0,2
44.0,10.0,0.0,1
15.0,4.0,1.0,2
3.0,1.0,1.0,1
10.0,2.0,2.0,1
3.0,1.0,0.0,2
5.0,1.0,1.0,2
12.0,2.0,0.0,1
3.0,1.0,1.0,2
3.0,1.0,1.0,2
23.0,3.0,3.0,2
3.0,1.0,0.0,2
8.0,1.0,2.0,2
9.0,1.0,0.0,2
22.0,3.0,2.0,1
8.0,2.0,3.0,1
3.0,1.0,0.0,2
8.0,2.0,1.0,2
3.0,1.0,1.0,2
27.0,7.0,2.0,2
18.0,1.0,0.0,2
6.0,1.0,0.0,1
26.0,3.0,1.0,1
24.0,2.0,1.0,1
4.0,1.0,0.0,2
3.0,1.0,0.0,1
17.0,4.0,3.0,2
49.0,12.0,2.0,1
11.0,2.0,1.0,1
8.0,1.0,0.0,1
3.0,1.0,0.0,2
27.0,5.0,1.0,1
4.0,1.0,2.0,1
3.0,1.0,1.0,2
32.0,6.0,2.0,2
8.0,1.0,0.0,1
3.0,1.0,1.0,2
56.0,13.0,5.0,1
3.0,1.0,0.0,2
3.0,1.0,1.0,1
25.0,4.0,0.0,2
3.0,1.0,1.0,2
80.0,15.0,0.0,2
0.0,1.0,1.0,2
24.0,6.0,1.0,1
9.0,1.0,0.0,1
12.0,2.0,1.0,2
19.0,2.0,0.0,1
3.0,1.0,0.0,1
5.0,1.0,0.0,2
26.0,5.0,4.0,1
54.0,13.0,0.0,1
10.0,2.0,1.0,2
8.0,2.0,1.0,2
69.0,1.0,0.0,1
17.0,1.0,1.0,1
3.0,1.0,0.0,1
5.0,1.0,1.0,1
11.0,2.0,1.0,1
15.0,1.0,1.0,1
31.0,9.0,1.0,1
3.0,1.0,1.0,2
86.0,1.0,0.0,1
22.0,4.0,0.0,2
16.0,3.0,0.0,2
4.0,1.0,2.0,2
79.0,15.0,0.0,1
16.0,3.0,2.0,1
3.0,1.0,0.0,2
3.0,1.0,1.0,2
