NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,label
0.0,0.0,2.0,2.0,19.0,2.0,0.0,1.0,-1.0,0.0,1.0,1
0.0,0.0,15.0,7.0,101.0,18.0,0.0,0.0,-1.0,0.0,9.0,1
0.0,0.0,2.0,2.0,11.0,3.0,0.0,0.0,-1.0,0.0,1.0,1
3.0,0.0,14.0,10.0,316.0,93.0,0.0,1.0,0.5,0.0,5.0,2
0.0,0.0,3.0,3.0,11.0,3.0,0.0,3.0,-1.0,0.0,0.0,2
0.0,0.0,5.0,5.0,7.0,5.0,1.0,0.0,-1.0,10.0,1.0,2
1.0,0.0,2.0,2.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,2
0.0,0.0,3.0,3.0,14.0,3.0,0.0,2.0,-1.0,2.0,3.0,2
1.0,0.0,2.0,2.0,21.0,2.0,0.0,1.0,1.0,0.0,0.0,1
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,2
1.0,0.0,1.0,0.0,29.0,4.0,0.0,0.0,0.0,0.0,2.0,1
1.0,0.0,4.0,4.0,15.0,4.0,0.0,1.0,1.0,1.0,0.0,1
3.0,0.0,5.0,5.0,55.0,9.0,0.0,2.0,0.0,4.0,0.0,1
2.0,0.0,11.0,11.0,114.0,14.0,0.0,1.0,0.0,0.0,3.0,1
0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,-1.0,2.0,0.0,2
0.0,0.0,17.0,17.0,95.0,17.0,0.0,0.0,-1.0,4.0,3.0,2
3.0,0.0,15.0,15.0,75.0,15.0,0.0,0.0,0.6,0.0,6.0,1
17.0,6.0,5.0,2.0,146.0,20.0,8.0,0.0,0.0,0.0,10.0,1
3.0,2.0,2.0,2.0,44.0,2.0,0.0,0.0,1.0,0.0,1.0,1
5.0,0.0,18.0,6.0,352.0,76.0,0.0,0.0,0.0,1.0,13.0,1
30.0,30.0,0.0,0.0,120.0,0.0,0.0,0.0,-1.0,56.0,1.0,2
0.0,0.0,6.0,6.0,45.0,11.0,0.0,1.0,-1.0,1.0,1.0,2
0.0,0.0,6.0,6.0,35.0,6.0,0.0,0.0,-1.0,11.0,2.0,2
0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,-1.0,2.0,0.0,1
8.0,0.0,12.0,12.0,119.0,20.0,0.0,0.0,0.3333333333333333,0.0,5.0,2
0.0,0.0,3.0,0.0,23.0,3.0,0.0,0.0,-1.0,5.0,0.0,2
0.0,0.0,2.0,2.0,12.0,2.0,0.0,0.0,-1.0,4.0,1.0,2
1.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,4.0,1
8.0,0.0,11.0,11.0,89.0,18.0,0.0,0.0,0.2727272727272727,1.0,3.0,2
1.0,0.0,1.0,1.0,29.0,2.0,0.0,0.0,0.0,0.0,2.0,1
